date,open,high,low,close,volume
1980-12-12,0.0996,0.1000,0.0996,0.0996,469033600
1980-12-15,0.0948,0.0948,0.0944,0.0944,175884800
1980-12-16,0.0879,0.0879,0.0874,0.0874,105728000
1980-12-17,0.0896,0.0900,0.0896,0.0896,86441600
1980-12-18,0.0922,0.0926,0.0922,0.0922,73449600
1980-12-19,0.0978,0.0983,0.0978,0.0978,48630400
1980-12-22,0.1026,0.1030,0.1026,0.1026,37363200
1980-12-23,0.1069,0.1074,0.1069,0.1069,46950400
1980-12-24,0.1126,0.1130,0.1126,0.1126,48003200
1980-12-26,0.1229,0.1234,0.1229,0.1229,55574400
1980-12-29,0.1247,0.1251,0.1247,0.1247,93161600
1980-12-30,0.1221,0.1221,0.1216,0.1216,68880000
1980-12-31,0.1186,0.1186,0.1182,0.1182,35750400
1981-01-02,0.1195,0.1203,0.1195,0.1195,21660800
1981-01-05,0.1173,0.1173,0.1169,0.1169,35728000
1981-01-06,0.1121,0.1121,0.1117,0.1117,45158400
1981-01-07,0.1074,0.1074,0.1069,0.1069,55686400
1981-01-08,0.1052,0.1052,0.1048,0.1048,39827200
1981-01-09,0.1104,0.1108,0.1104,0.1104,21504000
1981-01-12,0.1104,0.1104,0.1095,0.1095,23699200
1981-01-13,0.1061,0.1061,0.1056,0.1056,23049600
1981-01-14,0.1061,0.1065,0.1061,0.1061,14291200
1981-01-15,0.1082,0.1091,0.1082,0.1082,14067200
1981-01-16,0.1078,0.1078,0.1074,0.1074,13395200
1981-01-19,0.1138,0.1143,0.1138,0.1138,41574400
1981-01-20,0.1108,0.1108,0.1104,0.1104,30083200
1981-01-21,0.1126,0.1134,0.1126,0.1126,15904000
1981-01-22,0.1138,0.1147,0.1138,0.1138,35548800
1981-01-23,0.1138,0.1143,0.1134,0.1134,11222400
1981-01-26,0.1121,0.1121,0.1117,0.1117,24640000
1981-01-27,0.1117,0.1117,0.1108,0.1108,23699200
1981-01-28,0.1078,0.1078,0.1074,0.1074,28156800
1981-01-29,0.1039,0.1039,0.1034,0.1034,43904000
1981-01-30,0.0987,0.0987,0.0978,0.0978,46188800
1981-02-02,0.0926,0.0926,0.0922,0.0922,23766400
1981-02-03,0.0957,0.0961,0.0957,0.0957,19152000
1981-02-04,0.0991,0.0996,0.0991,0.0991,27865600
1981-02-05,0.0991,0.1000,0.0991,0.0991,7929600
1981-02-06,0.0996,0.1000,0.0996,0.0996,13865600
1981-02-09,0.0952,0.0952,0.0944,0.0944,16755200
1981-02-10,0.0944,0.0948,0.0944,0.0944,18345600
1981-02-11,0.0918,0.0918,0.0913,0.0913,13843200
1981-02-12,0.0909,0.0909,0.0905,0.0905,14560000
1981-02-13,0.0892,0.0892,0.0883,0.0883,11155200
1981-02-17,0.0905,0.0909,0.0905,0.0905,12275200
1981-02-18,0.0944,0.0952,0.0944,0.0944,19241600
1981-02-19,0.0892,0.0892,0.0888,0.0888,22310400
1981-02-20,0.0844,0.0844,0.0840,0.0840,24371200
1981-02-23,0.0853,0.0857,0.0853,0.0853,14112000
1981-02-24,0.0831,0.0831,0.0823,0.0823,16979200
1981-02-25,0.0874,0.0879,0.0874,0.0874,19488000
1981-02-26,0.0888,0.0892,0.0888,0.0888,10841600
1981-02-27,0.0918,0.0926,0.0918,0.0918,14761600
1981-03-02,0.0922,0.0926,0.0922,0.0922,11760000
1981-03-03,0.0913,0.0913,0.0909,0.0909,16172800
1981-03-04,0.0905,0.0905,0.0900,0.0900,13708800
1981-03-05,0.0900,0.0900,0.0896,0.0896,5376000
1981-03-06,0.0896,0.0896,0.0888,0.0888,11603200
1981-03-09,0.0823,0.0823,0.0818,0.0818,15321600
1981-03-10,0.0784,0.0784,0.0779,0.0779,28380800
1981-03-11,0.0757,0.0757,0.0749,0.0749,29859200
1981-03-12,0.0779,0.0784,0.0779,0.0779,59248000
1981-03-13,0.0775,0.0775,0.0771,0.0771,231302400
1981-03-16,0.0801,0.0809,0.0801,0.0801,37228800
1981-03-17,0.0840,0.0848,0.0840,0.0840,43747200
1981-03-18,0.0892,0.0900,0.0892,0.0892,36937600
1981-03-19,0.0888,0.0888,0.0883,0.0883,37811200
1981-03-20,0.0892,0.0900,0.0892,0.0892,14604800
1981-03-23,0.0926,0.0935,0.0926,0.0926,22019200
1981-03-24,0.0926,0.0926,0.0922,0.0922,28156800
1981-03-25,0.0913,0.0913,0.0905,0.0905,7056000
1981-03-26,0.0892,0.0892,0.0888,0.0888,12275200
1981-03-27,0.0862,0.0862,0.0857,0.0857,12252800
1981-03-30,0.0857,0.0866,0.0857,0.0857,9900800
1981-03-31,0.0857,0.0857,0.0848,0.0848,15993600
1981-04-01,0.0844,0.0844,0.0840,0.0840,34070400
1981-04-02,0.0913,0.0918,0.0913,0.0913,31404800
1981-04-03,0.0918,0.0922,0.0918,0.0918,16486400
1981-04-06,0.0905,0.0905,0.0900,0.0900,22803200
1981-04-07,0.0896,0.0896,0.0892,0.0892,10684800
1981-04-08,0.0935,0.0944,0.0935,0.0935,21952000
1981-04-09,0.0952,0.0957,0.0952,0.0952,12499200
1981-04-10,0.0966,0.0970,0.0966,0.0966,33465600
1981-04-13,0.0966,0.0970,0.0966,0.0966,16060800
1981-04-14,0.0966,0.0970,0.0966,0.0966,6652800
1981-04-15,0.0922,0.0922,0.0918,0.0918,34048000
1981-04-16,0.0870,0.0870,0.0866,0.0866,23878400
1981-04-20,0.0892,0.0896,0.0892,0.0892,35347200
1981-04-21,0.0952,0.0957,0.0952,0.0952,28537600
1981-04-22,0.0987,0.0991,0.0987,0.0987,18995200
1981-04-23,0.1013,0.1017,0.1013,0.1013,58016000
1981-04-24,0.1013,0.1013,0.1004,0.1004,35056000
1981-04-27,0.1000,0.1000,0.0996,0.0996,38528000
1981-04-28,0.0983,0.0983,0.0978,0.0978,32188800
1981-04-29,0.0970,0.0970,0.0966,0.0966,13641600
1981-04-30,0.0983,0.0991,0.0983,0.0983,12611200
1981-05-01,0.0983,0.0991,0.0983,0.0983,16553600
1981-05-04,0.0983,0.0983,0.0978,0.0978,14448000
1981-05-05,0.0978,0.0978,0.0974,0.0974,17539200
1981-05-06,0.0952,0.0952,0.0948,0.0948,18950400
1981-05-07,0.0961,0.0966,0.0961,0.0961,9363200
1981-05-08,0.0970,0.0974,0.0970,0.0970,7907200
1981-05-11,0.0952,0.0952,0.0948,0.0948,11939200
1981-05-12,0.0948,0.0961,0.0948,0.0948,4256000
1981-05-13,0.0948,0.0957,0.0944,0.0944,4905600
1981-05-14,0.0940,0.0940,0.0931,0.0931,4928000
1981-05-15,0.0952,0.0966,0.0952,0.0952,4905600
1981-05-18,0.0970,0.0978,0.0970,0.0970,4166400
1981-05-19,0.0957,0.0957,0.0952,0.0952,25424000
1981-05-20,0.0983,0.0991,0.0983,0.0983,13283200
1981-05-21,0.1039,0.1043,0.1039,0.1039,32211200
1981-05-22,0.1087,0.1095,0.1087,0.1087,31427200
1981-05-26,0.1087,0.1087,0.1082,0.1082,85344000
1981-05-27,0.1143,0.1147,0.1143,0.1143,149497600
1981-05-28,0.1143,0.1147,0.1143,0.1143,73987200
1981-05-29,0.1147,0.1152,0.1147,0.1147,59382400
1981-06-01,0.1147,0.1152,0.1147,0.1147,51251200
1981-06-02,0.1095,0.1095,0.1091,0.1091,40432000
1981-06-03,0.1091,0.1100,0.1091,0.1091,39446400
1981-06-04,0.1112,0.1117,0.1112,0.1112,56067200
1981-06-05,0.1100,0.1100,0.1095,0.1095,57680000
1981-06-08,0.1061,0.1061,0.1056,0.1056,93497600
1981-06-09,0.1078,0.1082,0.1078,0.1078,119593600
1981-06-10,0.1091,0.1104,0.1091,0.1091,25222400
1981-06-11,0.1138,0.1143,0.1138,0.1138,38976000
1981-06-12,0.1130,0.1130,0.1126,0.1126,25804800
1981-06-15,0.1126,0.1126,0.1121,0.1121,143763200
1981-06-16,0.1104,0.1104,0.1100,0.1100,37251200
1981-06-17,0.1087,0.1087,0.1082,0.1082,27574400
1981-06-18,0.1082,0.1087,0.1078,0.1078,23049600
1981-06-19,0.1052,0.1052,0.1048,0.1048,27507200
1981-06-22,0.1013,0.1013,0.1009,0.1009,10841600
1981-06-23,0.1026,0.1034,0.1026,0.1026,15030400
1981-06-24,0.1009,0.1009,0.1000,0.1000,23027200
1981-06-25,0.1022,0.1026,0.1022,0.1022,24259200
1981-06-26,0.1017,0.1017,0.1009,0.1009,23788800
1981-06-29,0.0983,0.0983,0.0974,0.0974,10595200
1981-06-30,0.0905,0.0905,0.0900,0.0900,35907200
1981-07-01,0.0896,0.0896,0.0892,0.0892,170464000
1981-07-02,0.0892,0.0896,0.0892,0.0892,30284800
1981-07-06,0.0870,0.0870,0.0862,0.0862,16531200
1981-07-07,0.0870,0.0879,0.0870,0.0870,15836800
1981-07-08,0.0905,0.0909,0.0905,0.0905,16620800
1981-07-09,0.0840,0.0840,0.0835,0.0835,32883200
1981-07-10,0.0775,0.0775,0.0771,0.0771,55171200
1981-07-13,0.0788,0.0792,0.0788,0.0788,45740800
1981-07-14,0.0823,0.0831,0.0823,0.0823,19779200
1981-07-15,0.0844,0.0848,0.0844,0.0844,10953600
1981-07-16,0.0866,0.0874,0.0866,0.0866,15232000
1981-07-17,0.0896,0.0900,0.0896,0.0896,19824000
1981-07-20,0.0840,0.0840,0.0835,0.0835,23654400
1981-07-21,0.0835,0.0835,0.0831,0.0831,31942400
1981-07-22,0.0792,0.0792,0.0784,0.0784,22668800
1981-07-23,0.0805,0.0809,0.0805,0.0805,34451200
1981-07-24,0.0831,0.0835,0.0831,0.0831,28851200
1981-07-27,0.0866,0.0870,0.0866,0.0866,17337600
1981-07-28,0.0840,0.0840,0.0835,0.0835,22848000
1981-07-29,0.0827,0.0827,0.0823,0.0823,15500800
1981-07-30,0.0853,0.0862,0.0853,0.0853,9900800
1981-07-31,0.0866,0.0870,0.0866,0.0866,10953600
1981-08-03,0.0866,0.0866,0.0857,0.0857,12432000
1981-08-04,0.0870,0.0874,0.0870,0.0870,31673600
1981-08-05,0.0896,0.0900,0.0896,0.0896,17494400
1981-08-06,0.0879,0.0879,0.0874,0.0874,10528000
1981-08-07,0.0874,0.0879,0.0874,0.0874,9206400
1981-08-11,0.0857,0.0857,0.0848,0.0848,71456000
1981-08-12,0.0835,0.0835,0.0831,0.0831,26275200
1981-08-13,0.0809,0.0809,0.0805,0.0805,27484800
1981-08-14,0.0801,0.0801,0.0792,0.0792,24192000
1981-08-17,0.0775,0.0775,0.0766,0.0766,18905600
1981-08-18,0.0757,0.0757,0.0749,0.0749,17001600
1981-08-19,0.0749,0.0749,0.0740,0.0740,20675200
1981-08-20,0.0749,0.0753,0.0749,0.0749,17113600
1981-08-21,0.0706,0.0706,0.0697,0.0697,41910400
1981-08-24,0.0658,0.0658,0.0654,0.0654,23072000
1981-08-25,0.0671,0.0675,0.0671,0.0671,40700800
1981-08-26,0.0663,0.0663,0.0658,0.0658,33600000
1981-08-27,0.0663,0.0667,0.0663,0.0663,25916800
1981-08-28,0.0697,0.0701,0.0697,0.0697,38035200
1981-08-31,0.0697,0.0701,0.0697,0.0697,40947200
1981-09-01,0.0740,0.0745,0.0740,0.0740,37027200
1981-09-02,0.0753,0.0757,0.0753,0.0753,19376000
1981-09-03,0.0723,0.0723,0.0714,0.0714,37475200
1981-09-04,0.0710,0.0710,0.0706,0.0706,15254400
1981-09-08,0.0688,0.0688,0.0684,0.0684,25446400
1981-09-09,0.0684,0.0688,0.0684,0.0684,30531200
1981-09-10,0.0688,0.0693,0.0688,0.0688,34809600
